item,skill,market,x,y,auctionValue
fastaval,bottle,movie,1,1,1
fastaval,workerIncome,movie,2,1,1
fastaval,workerCard,movie,3,1,1
fastaval,auctionIncome,movie,1,2,1
fastaval,bottle,figures,2,2,1
fastaval,workerIncome,figures,3,2,1
fastaval,workerCard,figures,1,3,1
fastaval,auctionIncome,figures,2,3,1
fastaval,bottle,music,3,3,1
fastaval,VP-all,music,4,1,2
fastaval,bottle,technology,5,1,1
fastaval,VP-music,technology,6,1,2
fastaval,bottle,music,4,2,1
fastaval,bottle,technology,5,2,1
fastaval,workerIncome,music,6,2,1
fastaval,workerCard,music,4,3,1
fastaval,auctionIncome,technology,5,3,1
fastaval,VP-figures,technology,6,3,2
movie,auctionIncome,music,7,1,1
movie,bottle,technology,8,1,1
movie,VP-music,technology,9,1,2
movie,bottle,fastaval,7,2,1
movie,bottle,technology,8,2,1
movie,workerIncome,fastaval,9,2,1
movie,workerCard,fastaval,7,3,1
movie,auctionIncome,technology,8,3,1
movie,VP-fastaval,technology,9,3,2
movie,bottle,fastaval,10,1,1
movie,VP-all,fastaval,11,1,2
movie,bottle,figures,12,1,1
movie,workerIncome,figures,10,2,1
movie,workerCard,figures,11,2,1
movie,auctionIncome,figures,12,2,1
movie,bottle,music,10,3,1
movie,workerIncome,music,11,3,1
movie,workerCard,music,12,3,1
technology,VP-all,figures,13,1,2
technology,bottle,music,14,1,1
technology,VP-figures,music,15,1,2
technology,bottle,figures,13,2,1
technology,bottle,music,14,2,1
technology,workerIncome,figures,15,2,1
technology,workerCard,figures,13,3,1
technology,auctionIncome,music,14,3,1
technology,VP-movie,music,15,3,2
technology,bottle,fastaval,16,1,1
technology,workerIncome,fastaval,17,1,1
technology,workerCard,fastaval,18,1,1
technology,auctionIncome,fastaval,16,2,1
technology,bottle,movie,17,2,1
technology,workerIncome,movie,18,2,1
technology,workerCard,movie,16,3,1
technology,auctionIncome,movie,17,3,1
technology,bottle,figures,18,3,1
figures,bottle,music,19,1,1
figures,workerIncome,music,20,1,1
figures,bottle,fastaval,21,1,1
figures,VP-all,fastaval,19,2,2
figures,bottle,movie,20,2,1
figures,VP-technology,movie,21,2,2
figures,workerCard,music,19,3,1
figures,auctionIncome,music,20,3,1
figures,bottle,technology,21,3,1
figures,workerIncome,technology,22,1,1
figures,workerCard,technology,23,1,1
figures,auctionIncome,technology,24,1,1
figures,bottle,fastaval,22,2,1
figures,bottle,movie,23,2,1
figures,workerIncome,fastaval,24,2,1
figures,workerCard,fastaval,22,3,1
figures,auctionIncome,movie,23,3,1
figures,VP-fastaval,movie,24,3,2
music,bottle,technology,25,1,1
music,workerIncome,technology,26,1,1
music,bottle,fastaval,27,1,1
music,workerIncome,fastaval,25,2,1
music,workerCard,fastaval,26,2,1
music,auctionIncome,fastaval,27,2,1
music,bottle,movie,25,3,1
music,VP-all,movie,26,3,2
music,bottle,figures,27,3,1
music,VP-technology,figures,28,1,2
music,workerCard,technology,29,1,1
music,auctionIncome,technology,30,1,1
music,bottle,movie,28,2,1
music,bottle,figures,29,2,1
music,workerIncome,movie,30,2,1
music,workerCard,movie,28,3,1
music,auctionIncome,figures,29,3,1
music,VP-movie,figures,30,3,2
